湖南省衡阳市酒店 电信,#genre#
CCTV1-综合,http://124.228.160.210:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://124.228.160.210:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://124.228.160.210:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://124.228.160.210:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://124.228.160.210:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://124.228.160.210:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://124.228.160.210:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://124.228.160.210:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://124.228.160.210:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://124.228.160.210:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://124.228.160.210:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://124.228.160.210:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://124.228.160.210:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://124.228.160.210:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://124.228.160.210:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://124.228.160.210:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://124.228.160.210:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://124.228.160.210:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://124.228.160.210:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://124.228.160.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://124.228.160.210:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://124.228.160.210:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://124.228.160.210:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://124.228.160.210:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.228.160.210:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://124.228.160.210:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://124.228.160.210:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://124.228.160.210:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://124.228.160.210:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://124.228.160.210:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://124.228.160.210:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
山西省太原市酒店 联通,#genre#
山西卫视,http://221.205.59.227:8800/hls/75/index.m3u8
山西经济与科技,http://221.205.59.227:8800/hls/77/index.m3u8
山西文体生活,http://221.205.59.227:8800/hls/76/index.m3u8
山西社会与法治,http://221.205.59.227:8800/hls/78/index.m3u8
山西影视,http://221.205.59.227:8800/hls/79/index.m3u8
山西黄河,http://221.205.59.227:8800/hls/81/index.m3u8
CCTV-1(高清),http://221.205.59.227:8800/hls/1/index.m3u8
CCTV-2(高清),http://221.205.59.227:8800/hls/2/index.m3u8
CCTV-3(高清),http://221.205.59.227:8800/hls/3/index.m3u8
CCTV-4中文国际,http://221.205.59.227:8800/hls/4/index.m3u8
CCTV-5(高清),http://221.205.59.227:8800/hls/5/index.m3u8
CCTV-6高清,http://221.205.59.227:8800/hls/6/index.m3u8
CCTV-7(高清),http://221.205.59.227:8800/hls/7/index.m3u8
CCTV-8(高清),http://221.205.59.227:8800/hls/8/index.m3u8
CCTV-9(纪录)高清,http://221.205.59.227:8800/hls/9/index.m3u8
CCTV-10(高清),http://221.205.59.227:8800/hls/10/index.m3u8
CCTV-11戏曲,http://221.205.59.227:8800/hls/11/index.m3u8
CCTV-12(高清),http://221.205.59.227:8800/hls/12/index.m3u8
CCTV-13新闻,http://221.205.59.227:8800/hls/13/index.m3u8
CCTV-少儿(高清),http://221.205.59.227:8800/hls/14/index.m3u8
CCTV-5+,http://221.205.59.227:8800/hls/16/index.m3u8
CCTV-15音乐,http://221.205.59.227:8800/hls/15/index.m3u8
CCTV16,http://221.205.59.227:8800/hls/129/index.m3u8
CCTV17,http://221.205.59.227:8800/hls/130/index.m3u8
湖南卫视(高清),http://221.205.59.227:8800/hls/17/index.m3u8
浙江卫视(高清),http://221.205.59.227:8800/hls/18/index.m3u8
江苏卫视(高清),http://221.205.59.227:8800/hls/19/index.m3u8
山西卫视(高清),http://221.205.59.227:8800/hls/20/index.m3u8
辽宁卫视(高清),http://221.205.59.227:8800/hls/21/index.m3u8
天津卫视(高清),http://221.205.59.227:8800/hls/22/index.m3u8
东方卫视(高清),http://221.205.59.227:8800/hls/23/index.m3u8
深圳卫视(高清),http://221.205.59.227:8800/hls/25/index.m3u8
广东卫视(高清),http://221.205.59.227:8800/hls/26/index.m3u8
北京卫视(高清),http://221.205.59.227:8800/hls/27/index.m3u8
山东卫视(高清),http://221.205.59.227:8800/hls/28/index.m3u8
湖北卫视(高清),http://221.205.59.227:8800/hls/29/index.m3u8
CHC影迷电影,http://221.205.59.227:8800/hls/30/index.m3u8
安徽卫视(高清),http://221.205.59.227:8800/hls/32/index.m3u8
吉林卫视高清,http://221.205.59.227:8800/hls/34/index.m3u8
四川卫视高清,http://221.205.59.227:8800/hls/36/index.m3u8
黑龙江卫视(高清),http://221.205.59.227:8800/hls/24/index.m3u8
北京纪实高清,http://221.205.59.227:8800/hls/128/index.m3u8
怀旧剧场,http://221.205.59.227:8800/hls/40/index.m3u8
CCTV兵器科技,http://221.205.59.227:8800/hls/38/index.m3u8
风云音乐,http://221.205.59.227:8800/hls/41/index.m3u8
央视精品,http://221.205.59.227:8800/hls/42/index.m3u8
世界地理,http://221.205.59.227:8800/hls/43/index.m3u8
第一剧场,http://221.205.59.227:8800/hls/44/index.m3u8
风云剧场,http://221.205.59.227:8800/hls/45/index.m3u8
CCTV-1综合,http://221.205.59.227:8800/hls/59/index.m3u8
CCTV-2财经,http://221.205.59.227:8800/hls/60/index.m3u8
CCTV-3综艺,http://221.205.59.227:8800/hls/61/index.m3u8
CCTV4-中文国际,http://221.205.59.227:8800/hls/62/index.m3u8
CCTV-5体育,http://221.205.59.227:8800/hls/63/index.m3u8
CCTV-6电影,http://221.205.59.227:8800/hls/64/index.m3u8
CCTV-7,http://221.205.59.227:8800/hls/65/index.m3u8
CCTV-8电视剧,http://221.205.59.227:8800/hls/66/index.m3u8
CCTV9-记录,http://221.205.59.227:8800/hls/67/index.m3u8
CCTV-10科教,http://221.205.59.227:8800/hls/68/index.m3u8
CCTV-11戏曲,http://221.205.59.227:8800/hls/69/index.m3u8
CCTV-12社会与法,http://221.205.59.227:8800/hls/70/index.m3u8
CCTV-13新闻,http://221.205.59.227:8800/hls/71/index.m3u8
CCTV-14少儿,http://221.205.59.227:8800/hls/72/index.m3u8
CCTV15-音乐,http://221.205.59.227:8800/hls/73/index.m3u8
CETV4,http://221.205.59.227:8800/hls/74/index.m3u8
河南卫视,http://221.205.59.227:8800/hls/90/index.m3u8
河北卫视,http://221.205.59.227:8800/hls/91/index.m3u8
甘肃卫视,http://221.205.59.227:8800/hls/93/index.m3u8
陕西卫视,http://221.205.59.227:8800/hls/94/index.m3u8
福建东南卫视,http://221.205.59.227:8800/hls/95/index.m3u8
内蒙古卫视,http://221.205.59.227:8800/hls/96/index.m3u8
吉林卫视,http://221.205.59.227:8800/hls/97/index.m3u8
青海卫视,http://221.205.59.227:8800/hls/98/index.m3u8
云南卫视,http://221.205.59.227:8800/hls/102/index.m3u8
安徽卫视,http://221.205.59.227:8800/hls/103/index.m3u8
重庆卫视,http://221.205.59.227:8800/hls/105/index.m3u8
江西卫视,http://221.205.59.227:8800/hls/106/index.m3u8
风云足球,http://221.205.59.227:8800/hls/39/index.m3u8
BRTV纪实科教,http://221.205.59.227:8800/hls/115/index.m3u8
广西卫视,http://221.205.59.227:8800/hls/110/index.m3u8
CETV-2,http://221.205.59.227:8800/hls/114/index.m3u8
广东卫视,http://221.205.59.227:8800/hls/122/index.m3u8
北京卫视,http://221.205.59.227:8800/hls/116/index.m3u8
东方卫视,http://221.205.59.227:8800/hls/117/index.m3u8
黑龙江卫视,http://221.205.59.227:8800/hls/127/index.m3u8
深圳卫视,http://221.205.59.227:8800/hls/123/index.m3u8
湖南卫视,http://221.205.59.227:8800/hls/118/index.m3u8
江苏卫视,http://221.205.59.227:8800/hls/120/index.m3u8
天津卫视,http://221.205.59.227:8800/hls/121/index.m3u8
宁夏卫视,http://221.205.59.227:8800/hls/107/index.m3u8
山东卫视,http://221.205.59.227:8800/hls/124/index.m3u8
辽宁卫视,http://221.205.59.227:8800/hls/126/index.m3u8
浙江卫视,http://221.205.59.227:8800/hls/119/index.m3u8
湖北卫视,http://221.205.59.227:8800/hls/125/index.m3u8
重温经典,http://221.205.59.227:8800/hls/89/index.m3u8
太原教育,http://221.205.59.227:8800/hls/87/index.m3u8
晋中公共,http://221.205.59.227:8800/hls/88/index.m3u8
太原-5,http://221.205.59.227:8800/hls/86/index.m3u8
太原-4,http://221.205.59.227:8800/hls/85/index.m3u8
太原-3,http://221.205.59.227:8800/hls/84/index.m3u8
太原-2,http://221.205.59.227:8800/hls/83/index.m3u8
太原-1,http://221.205.59.227:8800/hls/82/index.m3u8
太原1-高清,http://221.205.59.227:8800/hls/104/index.m3u8
吉林省延边酒店 联通,#genre#
CCTV1-综合,http://139.208.184.175:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://139.208.184.175:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://139.208.184.175:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://139.208.184.175:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://139.208.184.175:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://139.208.184.175:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://139.208.184.175:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://139.208.184.175:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://139.208.184.175:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://139.208.184.175:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://139.208.184.175:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://139.208.184.175:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://139.208.184.175:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://139.208.184.175:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://139.208.184.175:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://139.208.184.175:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://139.208.184.175:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://139.208.184.175:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://139.208.184.175:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://139.208.184.175:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://139.208.184.175:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://139.208.184.175:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://139.208.184.175:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://139.208.184.175:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://139.208.184.175:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://139.208.184.175:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://139.208.184.175:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://139.208.184.175:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://139.208.184.175:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://139.208.184.175:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
吉视都市,http://139.208.184.175:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
吉视影视,http://139.208.184.175:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
吉视生活,http://139.208.184.175:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
长影频道,http://139.208.184.175:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
天津天津市酒店 联通,#genre#
天津卫视,http://60.26.14.93:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
天津新闻,http://60.26.14.93:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
天津文艺,http://60.26.14.93:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
天津影视,http://60.26.14.93:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
天津都市,http://60.26.14.93:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
天津体育,http://60.26.14.93:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
天津教育,http://60.26.14.93:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://60.26.14.93:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://60.26.14.93:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://60.26.14.93:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-中文国际,http://60.26.14.93:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://60.26.14.93:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://60.26.14.93:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-国防军事,http://60.26.14.93:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://60.26.14.93:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://60.26.14.93:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://60.26.14.93:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://60.26.14.93:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://60.26.14.93:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://60.26.14.93:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
